feature
T2M
T2M_MAX
T2M_MIN
Daily_Temp_Fluctuation
T2M_EWMA_2
T2M_REWMA_2
T2M_EWMA_3
T2M_REWMA_3
T2M_EWMA_4
T2M_REWMA_4
T2M_EWMA_5
T2M_REWMA_5
T2M_EWMA_6
T2M_REWMA_6
T2M_EWMA_7
T2M_REWMA_7
T2M_EWMA_10
T2M_REWMA_10
T2M_EWMA_14
T2M_REWMA_14
T2M_EWMA_21
T2M_REWMA_21
T2M_EWMA_30
T2M_REWMA_30
T2M_EWMA_45
T2M_REWMA_45
T2M_EWMA_60
T2M_REWMA_60
T2M_EWMA_90
T2M_REWMA_90
T2M_MAX_EWMA_2
T2M_MAX_REWMA_2
T2M_MAX_EWMA_3
T2M_MAX_REWMA_3
T2M_MAX_EWMA_4
T2M_MAX_REWMA_4
T2M_MAX_EWMA_5
T2M_MAX_REWMA_5
T2M_MAX_EWMA_6
T2M_MAX_REWMA_6
T2M_MAX_EWMA_7
T2M_MAX_REWMA_7
T2M_MAX_EWMA_10
T2M_MAX_REWMA_10
T2M_MAX_EWMA_14
T2M_MAX_REWMA_14
T2M_MAX_EWMA_21
T2M_MAX_REWMA_21
T2M_MAX_EWMA_30
T2M_MAX_REWMA_30
T2M_MAX_EWMA_45
T2M_MAX_REWMA_45
T2M_MAX_EWMA_60
T2M_MAX_REWMA_60
T2M_MAX_EWMA_90
T2M_MAX_REWMA_90
T2M_MIN_EWMA_2
T2M_MIN_REWMA_2
T2M_MIN_EWMA_3
T2M_MIN_REWMA_3
T2M_MIN_EWMA_4
T2M_MIN_REWMA_4
T2M_MIN_EWMA_5
T2M_MIN_REWMA_5
T2M_MIN_EWMA_6
T2M_MIN_REWMA_6
T2M_MIN_EWMA_7
T2M_MIN_REWMA_7
T2M_MIN_EWMA_10
T2M_MIN_REWMA_10
T2M_MIN_EWMA_14
T2M_MIN_REWMA_14
T2M_MIN_EWMA_21
T2M_MIN_REWMA_21
T2M_MIN_EWMA_30
T2M_MIN_REWMA_30
T2M_MIN_EWMA_45
T2M_MIN_REWMA_45
T2M_MIN_EWMA_60
T2M_MIN_REWMA_60
T2M_MIN_EWMA_90
T2M_MIN_REWMA_90
CU
Utah
NC
DP
GDD_0
GDD_4
GDD_7
GDD_10
GDH10
GDH_7
GDH_4
GDH_0
CU_3days
CU_7days
CU_14days
CU_30days
CU_60days
CU_90days
Utah_3days
Utah_7days
Utah_14days
Utah_30days
Utah_60days
Utah_90days
NC_3days
NC_7days
NC_14days
NC_30days
NC_60days
NC_90days
DP_3days
DP_7days
DP_14days
DP_30days
DP_60days
DP_90days
GDD_0_3days
GDD_0_7days
GDD_0_14days
GDD_0_30days
GDD_0_60days
GDD_0_90days
GDD_4_3days
GDD_4_7days
GDD_4_14days
GDD_4_30days
GDD_4_60days
GDD_4_90days
GDD_7_3days
GDD_7_7days
GDD_7_14days
GDD_7_30days
GDD_7_60days
GDD_7_90days
GDD_10_3days
GDD_10_7days
GDD_10_14days
GDD_10_30days
GDD_10_60days
GDD_10_90days
GDH10_3days
GDH10_7days
GDH10_14days
GDH10_30days
GDH10_60days
GDH10_90days
GDH_7_3days
GDH_7_7days
GDH_7_14days
GDH_7_30days
GDH_7_60days
GDH_7_90days
GDH_4_3days
GDH_4_7days
GDH_4_14days
GDH_4_30days
GDH_4_60days
GDH_4_90days
GDH_0_3days
GDH_0_7days
GDH_0_14days
GDH_0_30days
GDH_0_60days
GDH_0_90days
GDD_0_y2d
GDD_4_y2d
GDD_7_y2d
GDD_10_y2d
GDH10_y2d
GDH_7_y2d
GDH_4_y2d
GDH_0_y2d
CU_dormant2d
Utah_dormant2d
NC_dormant2d
DP_dormant2d
T2M_MAX_EWMA_2_season_max
T2M_MAX_REWMA_2_season_max
T2M_MAX_EWMA_3_season_max
T2M_MAX_REWMA_3_season_max
T2M_MAX_EWMA_4_season_max
T2M_MAX_REWMA_4_season_max
T2M_MAX_EWMA_5_season_max
T2M_MAX_REWMA_5_season_max
T2M_MAX_EWMA_6_season_max
T2M_MAX_REWMA_6_season_max
T2M_MAX_EWMA_7_season_max
T2M_MAX_REWMA_7_season_max
T2M_MAX_EWMA_10_season_max
T2M_MAX_REWMA_10_season_max
T2M_MAX_EWMA_14_season_max
T2M_MAX_REWMA_14_season_max
T2M_MAX_EWMA_21_season_max
T2M_MAX_REWMA_21_season_max
T2M_MAX_EWMA_30_season_max
T2M_MAX_REWMA_30_season_max
T2M_MAX_EWMA_45_season_max
T2M_MAX_REWMA_45_season_max
T2M_MAX_EWMA_60_season_max
T2M_MAX_REWMA_60_season_max
T2M_MAX_EWMA_90_season_max
